Title,Price,# of Bedrooms,sqft,City,Post Date,Link
9167 Tiburon Circle,"$2,300",3br,1107ft2,Atascadero,2/28,https://slo.craigslist.org/apa/d/atascadero-9167-tiburon-circle/7592899811.html
Vinifera Luxury Townhomes,"$3,800",3br,1653ft2,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-vinifera-luxury/7593011870.html
115 Palomar,"$3,500",3br,None Listed,Pismo Beach,2/28,https://slo.craigslist.org/apa/d/pismo-beach-115-palomar/7593013759.html
132 Earthwood,"$4,300",3br,None Listed,"San Luis Obispo, CA",2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-132-earthwood/7593017333.html
126 Earthwood Lane,"$4,100",3br,None Listed,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-126-earthwood-lane/7593019768.html
955 Via Solana,"$3,600",4br,None Listed,Arroyo Grande,2/28,https://slo.craigslist.org/apa/d/arroyo-grande-955-via-solana/7593020931.html
676 N 12th Street #10,"$2,000",2br,1150ft2,Grover Beach,2/28,https://slo.craigslist.org/apa/d/grover-beach-676-12th-street-10/7593022558.html
305 Fairview,"$2,700",3br,1500ft2,Paso Robles,2/28,https://slo.craigslist.org/apa/d/paso-robles-305-fairview/7593023927.html
3 Bedroom Close to CP & Downtown SLO,"$2,700",3br,1200ft2,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-bedroom-close-to-cp/7591863730.html
Vintage Duplex Downtown SLO,"$2,300",2br,None Listed,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-vintage-duplex-downtown/7592315725.html
Sunny corner 2 bedroom in Pet Friendly Twin Creeks,"$3,275",2br,878ft2,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-sunny-corner-bedroom-in/7594283663.html
"Bright, townhome 3 bed 2.5 bath","$3,800",3br,None Listed,slo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-bright-townhome-bed-25/7590635036.html
136 Allen Street,"$3,300",3br,1635ft2,Arroyo Grande,2/28,https://slo.craigslist.org/apa/d/arroyo-grande-136-allen-street/7585333509.html
Great Views in Pismo Heights!,"$3,200",3br,None Listed,Pismo Beach,2/28,https://slo.craigslist.org/apa/d/pismo-beach-great-views-in-pismo-heights/7587060488.html
Single level 1-bedroom in Pet friendly Twin Creeks!,"$2,795",1br,700ft2,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-single-level-bedroom-in/7587436457.html
"Pet Friendly two bedroom, two bathroom","$3,295",2br,829ft2,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-pet-friendly-two/7584519671.html
55 or Older Community in Beautiful Avila Beach 2 Bedroom Home,"$3,250",2br,None Listed,2br,2/28,https://slo.craigslist.org/apa/d/avila-beach-55-or-older-community-in/7594269220.html
All Corner Homes with Modern Open Concept Living,"$2,195",1br,700ft2,Paso Robles,2/28,https://slo.craigslist.org/apa/d/paso-robles-all-corner-homes-with/7584994444.html
Complete Modern Appliance Package,"$2,195",1br,700ft2,Paso Robles,2/28,https://slo.craigslist.org/apa/d/paso-robles-complete-modern-appliance/7584993110.html
Amazing Views of the Rolling Hillsides and Creek,"$2,695",2br,1000ft2,Paso Robles,2/28,https://slo.craigslist.org/apa/d/paso-robles-amazing-views-of-the/7584991454.html
Walking Trails and Outdoor Spaces with Seating,"$2,395",2br,900ft2,"Paso Robles, CA",2/28,https://slo.craigslist.org/apa/d/paso-robles-walking-trails-and-outdoor/7584983553.html
Two Covered Patios or Balconies,"$2,395",2br,900ft2,"Paso Robles, CA",2/28,https://slo.craigslist.org/apa/d/paso-robles-two-covered-patios-or/7584985816.html
2870 Victoria Avenue,"$3,000",3br,None Listed,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-2870-victoria-avenue/7585317969.html
"1243 Bond, Units A & B available!!","$1,975",1br,None Listed,1br,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-1243-bond-units/7592006889.html
3591 Sacramento Dr #54,"$3,200",3br,None Listed,"San Luis Obispo, CA",2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-3591-sacramento-dr-54/7585256387.html
"60 Casa Street, Unit #25","$2,500",2br,None Listed,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-60-casa-street-unit-25/7585315625.html
65-I Stenner Street,"$3,500",2br,None Listed,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-65-stenner-street/7585248379.html
Excellent Access to Highway 46 and 101 Freeway,"$2,765",2br,1050ft2,Paso Robles,2/28,https://slo.craigslist.org/apa/d/paso-robles-excellent-access-to-highway/7594251950.html
ELEVATE YOUR LIFESTYLE AT EMERALD RIDGE !,"$2,550",2br,740ft2,Atascadero,2/28,https://slo.craigslist.org/apa/d/atascadero-elevate-your-lifestyle-at/7594248820.html
ELEVATE YOUR LIFESTYLE AT EMERALD RIDGE !,"$2,550",2br,740ft2,Atascadero,2/28,https://slo.craigslist.org/apa/d/atascadero-elevate-your-lifestyle-at/7594247858.html
ELEVATE YOUR LIFESTYLE AT EMERALD RIDGE !,"$2,550",2br,740ft2,Atascadero,2/28,https://slo.craigslist.org/apa/d/atascadero-elevate-your-lifestyle-at/7594246763.html
ELEVATE YOUR LIFESTYLE AT EMERALD RIDGE !,"$2,550",2br,740ft2,Atascadero,2/28,https://slo.craigslist.org/apa/d/atascadero-elevate-your-lifestyle-at/7594246525.html
3Br 2Ba House for Rent in Avila. Walk to the Beach,"$3,500",3br,1361ft2,Avila beach,2/28,https://slo.craigslist.org/apa/d/avila-beach-3br-2ba-house-for-rent-in/7587639466.html
ELEVATE YOUR LIFESTYLE AT EMERALD RIDGE !,"$2,550",2br,740ft2,Atascadero,2/28,https://slo.craigslist.org/apa/d/atascadero-elevate-your-lifestyle-at/7594242473.html
Beautiful 2 bed 2.5 bath,"$3,400",2br,1267ft2,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-beautiful-bed-25-bath/7593378552.html
Beautiful 2 bed 2.5 bath $500 off!,"$3,250",2br,1013ft2,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-beautiful-bed-25-bath/7590467585.html
Charming 2 Bedroom with Large Yard Near Downtown SLO,"$2,100",2br,536ft2,San Luis Obispo Railroad District,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-charming-bedroom-with/7594221574.html
BEST DOWNTOWN STUDIO IN SLO!!! GREAT YARD WITH GRAPE VINES!!,"$1,750",1br,None Listed,San Luis Obispo,2/28,https://slo.craigslist.org/apa/d/san-luis-obispo-best-downtown-studio-in/7594153345.html
Friendly neighbors,"$2,150",2br,1000ft2,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-friendly-neighbors/7594130234.html
"5 Bedrooms, Tons of room!","$5,000",5br,None Listed,1204 Drake Circle,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-bedrooms-tons-of-room/7594107837.html
One Bedroom House,"$2,250",1br,1000ft2,CAMBRIA,2/27,https://slo.craigslist.org/apa/d/harmony-one-bedroom-house/7594106982.html
3/2 Craftsman House,"$3,000",3br,1216ft2,Downtown Paso Robles,2/27,https://slo.craigslist.org/apa/d/paso-robles-2-craftsman-house/7594096809.html
Move-in Ready Modern Furnished Townhouse,"$4,000",3br,None Listed,San Luis Obispo near Orcutt,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-move-in-ready-modern/7594084128.html
ELEVATE YOUR LIFESTYLE AT EMERALD RIDGE !! This Two bedroom One bath,"$2,885",2br,1040ft2,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-elevate-your-lifestyle-at/7586914863.html
ELEVATE YOUR LIFESTYLE AT EMERALD RIDGE !! Two bedroom One bath!!,"$2,885",2br,1040ft2,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-elevate-your-lifestyle-at/7586916262.html
ELEVATE YOUR LIFESTYLE AT EMERALD RIDGE !! Two bed One bath,"$2,885",2br,1040ft2,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-elevate-your-lifestyle-at/7585547209.html
Furnished 1 Bedroom 1 Bathroom Apartment Available Now,"$1,900",1br,None Listed,Atascadero,2/27,https://slo.craigslist.org/apa/d/paso-robles-furnished-bedroom-bathroom/7589900429.html
7905 Santa Ysabel,"$1,800",2br,None Listed,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-7905-santa-ysabel/7592013285.html
5356 Mariquita,"$1,450",2br,None Listed,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-5356-mariquita/7592542943.html
10310 El Camino Real,"$1,800",2br,None Listed,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-el-camino-real/7592548712.html
5440 Mariquita,"$2,150",2br,None Listed,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-5440-mariquita/7592555314.html
Studio Apartment,"$1,425",1br,300ft2,Baywood Park,2/27,https://slo.craigslist.org/apa/d/los-osos-studio-apartment/7594053953.html
Studio/Cabin/Cottage/,"$1,850",None Listed,350ft2,O’Oonnor Way San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-studio-cabin-cottage/7594056389.html
Cottage/Cabin/Studio,"$1,850",None Listed,350ft2,San Luis Obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-cottage-cabin-studio/7587878482.html
1 bedroom 1bath located at 3548 Oak Street,"$2,100",1br,None Listed,Paso Robles,2/27,https://slo.craigslist.org/apa/d/paso-robles-bedroom-1bath-located-at/7587635046.html
"4 Bedroom, 3 Bath","$3,500",4br,2000ft2,Nipomo,2/27,https://slo.craigslist.org/apa/d/nipomo-bedroom-bath/7594045554.html
373 N 10th,"$2,795",3br,None Listed,Grover Beach,2/27,https://slo.craigslist.org/apa/d/grover-beach-373-10th/7590115686.html
8500 Santa Ynez I,"$1,600",2br,None Listed,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-8500-santa-ynez/7594037215.html
10710-14 El Camino Real,"$2,050",2br,979ft2,Atascadero,2/27,https://slo.craigslist.org/apa/d/atascadero-el-camino-real/7589900496.html
AVAILABLE FEBRUARY - Nice Home in Patria Village - 2 Bed / 2 Bath,"$2,500",2br,None Listed,2br,2/27,https://slo.craigslist.org/apa/d/atascadero-available-february-nice-home/7587340908.html
New Home in San Luis Ranch - 3 Bedroom / 2.5 Bathroom,"$3,990",3br,None Listed,3br,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-new-home-in-san-luis/7592206269.html
Newly Remodeled 3 Bedroom w/ All Utilities Included,"$4,100",3br,1508ft2,san luis obispo,2/27,https://slo.craigslist.org/apa/d/san-luis-obispo-newly-remodeled-bedroom/7593011474.html
Beautiful 2 Bed/2 Bath Condo in Great Location,"$3,000",2br,900ft2,pismo beach,2/27,https://slo.craigslist.org/apa/d/pismo-beach-beautiful-bed-bath-condo-in/7594019906.html
